PIN,Angle between B and C,Angle between B and E,Angle between B and F,Angle between C and E,Angle between C and F,Angle between the projections of B and C on the z=0 plane,Angle between the projections of B and F on the z=0 plane,Angle between the projections of C and E on the z=0 plane,Angle of B strand vector to x axis,Angle of B strand vector to y axis,Angle of B strand vector to z axis,Angle of C strand vector to x axis,Angle of C strand vector to y axis,Angle of C strand vector to z axis,Angle of E strand vector to x axis,Angle of E strand vector to y axis,Angle of E strand vector to z axis,Angle of F strand vector to x axis,Angle of F strand vector to y axis,Angle of F strand vector to z axis,Distance of Center of Mass of B from plane,Distance of Center of Mass of C from plane,Distance of Center of Mass of E from plane,Distance of Center of Mass of F from plane
1ADQ_H_117_to_223B,2.3630391078170327,2.710218577548904,0.5075104560944022,0.5348563234555811,2.6975362542629893,2.5654459520690676,0.5097784342432257,0.5404573706462331,1.5377675504435906,2.8922306216457074,1.8178687947569703,1.5377675504435906,2.8922306216457074,1.8178687947569703,1.6393846152775502,0.1955612362049798,1.7536435018824144,1.034188402385876,2.578235325103986,1.7258054602388966,5.863732569421469,4.320526885586053,5.412470022143165,4.19613090382866
1AZV_A_1_to_152,2.1974379059871763,2.917926025320884,0.8521160542837105,0.789280714094243,2.690095110577814,2.258952444370054,0.8627429277400178,0.7837767532290392,1.537795890190557,2.9997092306029747,1.708738094929129,1.537795890190557,2.9997092306029747,1.708738094929129,1.702714675275876,0.1462642227733341,1.6336019656835594,0.7099258989008889,2.22272725381099,1.8112276220107004,6.363398169992531,5.1103495601882925,5.11008892223353,4.434158026370047
1B4T_A_1_to_152,2.1907136226544504,2.9089511420894505,0.8025741641164778,0.7996937639512605,2.6955595129418155,2.247461730125979,0.8114731097960026,0.7985279963566984,1.385140854011292,2.910278943577407,1.7071773779329709,1.385140854011292,2.910278943577407,1.7071773779329709,1.8529801463148048,0.2927329013583432,1.6466060583801725,0.6144169810477645,2.1246196257563637,1.8090871577665817,5.951688493139964,4.950636754175916,5.624639742966124,4.257269405757267
1AO7_D_1_to_116,2.3382067031668807,2.8301144878602873,0.4854924771328441,0.7272094087037844,2.785677930455968,2.4546220241750887,0.4653907327304162,0.733670234269254,1.5132329617287128,2.967078205160389,1.7353595917015552,1.5132329617287128,2.967078205160389,1.7353595917015552,1.582329657333829,0.1438920055001138,1.7142189527399387,1.04715128819433,2.6175547554761023,1.5892451811518054,4.879844648872982,5.486312186459651,4.371821443591553,4.299379377505044
1A6T_A_110_to_211,2.5512580007146752,2.7929098999338566,0.3706857878626041,0.3817766233887381,2.848622782474978,2.768324259357305,0.3345957378590072,0.3698092037162818,1.6591881006256002,0.2656885684700762,1.820678390044398,1.6591881006256002,0.2656885684700762,1.820678390044398,1.4765673060006972,3.0048607299398533,1.6695801318736232,1.995166946036025,0.4328629825343763,1.6510099955117747,5.958665656726762,4.6437201225727645,5.061999447378639,4.167103302415376
1BA9_A_2_to_152,2.1627926286725008,2.92394637606954,0.8776794137427915,0.7859730643726169,2.657934447802487,2.2287495916451108,0.8925030235256959,0.7639068679480716,1.5221567843574757,2.977215700783356,1.7276869264833783,1.5221567843574757,2.977215700783356,1.7276869264833783,1.7689768044015548,0.1981951742609515,1.5731783551236802,0.6782187854456028,2.1731959764017854,1.8435728602938808,6.107980308112745,5.196173732944958,4.85183413438731,4.699415274666808
1B2W_L_111_to_211,2.561284029969935,2.802938375661372,0.3249357638261021,0.3647636640053776,2.855944244048087,2.7834763935275384,0.2697669740814414,0.3475488946533281,1.525635830019639,2.8726702053276676,1.835713429152669,1.525635830019639,2.8726702053276676,1.835713429152669,1.628002410037679,0.0932616222976641,1.6443717025444409,1.255216097962851,2.8160137910802714,1.6482062109603324,5.948132209414335,4.3776401377785135,5.246329711061591,4.332824700859085
1A4K_L_3_to_107,2.23782052166282,2.88415880260807,0.4945461979160387,0.7691581060684578,2.6681489937985905,2.3705800576347302,0.4855448607606087,0.7533488197998846,1.611780675372786,0.1632923002050018,1.7287721492604946,1.611780675372786,0.1632923002050018,1.7287721492604946,1.511920315728286,3.026434250754554,1.6696515211303358,2.097114127403733,0.5291937843127285,1.6208426169002674,5.0933007278470255,5.702755425629086,4.639332927611763,4.35863841677597
1AJ7_L_2_to_107,2.25088334333939,2.8883267403392923,0.4604303027960331,0.7718295695265076,2.641689549432068,2.376812345892511,0.4581504562457155,0.7577080769771067,1.6076913665791992,0.166462556241366,1.7330440909050728,1.6076913665791992,0.166462556241366,1.7330440909050728,1.526521576899503,3.0404118143065557,1.6617163688397936,2.064244857947337,0.5026414799176021,1.658750512424029,5.223119729260356,5.959327637827103,4.588494763700803,4.346834464885955
1BIH_A_308_to_395,2.53123541527319,2.830604099157053,0.3314581797175166,0.3846580082193044,2.7635520157027114,2.8335670339933556,0.3064689148847004,0.3177977995132841,0.8167364173027776,0.8710236586324536,1.9191576956735552,0.8167364173027776,0.8710236586324536,1.9191576956735552,2.395721842332591,2.3152555244252735,1.5332769175729013,1.0720889837478718,0.5429645994752136,1.7674914139264586,6.143363031207275,5.319522358712136,5.522794960515194,5.353089056996134
